Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Moldova,https://www.sofascore.com/moldova-albania/PTbsHVb#id:10752568,47%,No information,1,13,3,4,22,405,14,16,2,No information,6,0,4,3,10,3,0,1,No information,No information,3,1,322,16,67,37/69 (54%),3/23 (13%),48%,5,32/74 (43%),19/33 (58%),4/12 (33%),57%,14,5,50,6,No information,3,4,1,"17/11/2023, 09:00"
Albania,https://www.sofascore.com/moldova-albania/PTbsHVb#id:10752568,53%,No information,1,10,5,2,18,467,13,21,2,No information,4,1,4,2,3,7,1,0,No information,No information,2,1,389,18,46,39/75 (52%),2/4 (50%),52%,6,42/74 (57%),14/33 (42%),9/17 (53%),85%,13,5,57,23,No information,5,3,1,"17/11/2023, 09:00"

Albania,https://www.sofascore.com/faroe-islands-albania/PTbskVb#id:10752589,64%,No information,1,8,0,2,6,641,15,14,1,No information,4,0,2,2,5,3,No information,1,2,No information,2,5,546,29,67,48/76 (63%),3/12 (25%),50%,8,35/66 (53%),19/43 (44%),7/20 (35%),73%,15,3,60,19,No information,0,6,0,"20/11/2023, 11:45"
Faroe islands,https://www.sofascore.com/faroe-islands-albania/PTbskVb#id:10752589,36%,No information,0,10,4,3,17,360,21,6,2,No information,0,0,6,4,7,3,No information,0,0,No information,3,0,263,21,49,29/70 (41%),5/14 (36%),50%,12,31/66 (47%),24/43 (56%),4/7 (57%),52%,21,10,63,22,No information,4,5,0,"20/11/2023, 11:45"

Albania,https://www.sofascore.com/chile-albania/PTbseVb#id:12144663,55%,No information,0,7,1,4,9,585,14,13,2,No information,0,0,3,4,2,5,0,No information,No information,No information,0,1,536,13,46,27/37 (73%),1/16 (6%),50%,9,35/67 (52%),5/13 (38%),8/17 (47%),50%,14,9,42,11,No information,1,7,3,"22/03/2024, 12:45"
Chile,https://www.sofascore.com/chile-albania/PTbseVb#id:12144663,45%,No information,1,9,0,4,13,490,17,8,2,No information,4,0,3,2,4,5,1,No information,No information,No information,1,2,427,16,41,23/47 (49%),1/10 (10%),49%,7,31/66 (47%),8/13 (62%),6/13 (46%),59%,17,3,45,11,No information,0,7,0,"22/03/2024, 12:45"

Sweden,https://www.sofascore.com/albania-sweden/NTbsPTb#id:12076354,51%,No information,1,11,1,2,22,501,17,8,1,No information,6,1,3,2,8,3,1,0,No information,No information,1,1,440,11,52,11/26 (42%),4/11 (36%),42%,5,33/79 (42%),6/14 (43%),8/16 (50%),47%,17,7,53,12,No information,1,9,1,"25/03/2024, 11:00"
Albania,https://www.sofascore.com/albania-sweden/NTbsPTb#id:12076354,49%,No information,1,8,5,4,8,489,13,21,2,No information,1,0,6,1,3,5,0,1,No information,No information,4,2,424,17,39,29/56 (52%),1/15 (7%),58%,10,46/79 (58%),8/14 (57%),12/19 (63%),54%,13,12,54,16,No information,5,10,0,"25/03/2024, 11:00"

Albania,https://www.sofascore.com/azerbaijan-albania/PTbsRUb#id:12258877,40%,No information,No information,11,2,4,5,No information,No information,11,0,0,5,No information,4,2,No information,No information,No information,No information,No information,No information,No information,2,No information,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,10,3,"07/06/2024, 10:00"
Azerbaijan,https://www.sofascore.com/azerbaijan-albania/PTbsRUb#id:12258877,60%,No information,No information,9,2,3,10,No information,No information,7,1,0,3,No information,4,2,No information,No information,No information,No information,No information,No information,No information,1,No information,13,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,6,1,"07/06/2024, 10:00"

Italy,https://www.sofascore.com/italy-albania/PTbshUb#id:11873898,68%,1.56,5,17,0,5,7,809,9,7,2,No information,5,1,5,7,12,5,1,4,No information,34,0,2,747,17,72,21/36 (58%),7/15 (47%),54%,4,25/41 (61%),6/16 (38%),9/13 (69%),56%,9,15,37,6,-0.41,0,3,2,"15/06/2024, 12:00"
Albania,https://www.sofascore.com/italy-albania/PTbshUb#id:11873898,32%,0.51,2,8,3,3,7,372,8,7,2,No information,1,0,5,2,4,4,1,1,No information,7,2,1,313,15,25,17/41 (41%),2/9 (22%),46%,4,16/41 (39%),10/16 (63%),2/7 (29%),63%,8,13,32,15,-0.41,3,8,1,"15/06/2024, 12:00"

Croatia,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,67%,2.69,4,22,5,3,15,634,17,11,1,No information,10,0,7,5,15,7,1,3,1,36,3,0,572,14,80,12/29 (41%),9/29 (31%),64%,6,44/72 (61%),20/28 (71%),16/21 (76%),71%,17,14,60,7,0.43,5,4,2,"19/06/2024, 06:00"
Albania,https://www.sofascore.com/croatia-albania/PTbspUb#id:11873906,33%,1.36,4,15,8,1,11,311,11,14,3,No information,7,0,2,6,9,6,2,2,0,19,2,4,247,8,28,29/60 (48%),4/12 (33%),36%,11,28/72 (39%),8/28 (29%),3/9 (33%),64%,11,9,57,26,0.92,8,11,2,"19/06/2024, 06:00"

Albania,https://www.sofascore.com/qatar-albania/PTbsRVb#id:10855156,No information,No information,No information,7,2,5,12,No information,No information,10,3,No information,1,No information,5,1,No information,No information,No information,No information,No information,No information,No information,6,No information,17,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,3,1,"09/11/2022, 09:30"
Qatar,https://www.sofascore.com/qatar-albania/PTbsRVb#id:10855156,No information,No information,No information,7,1,5,9,No information,No information,18,2,No information,3,No information,2,2,No information,No information,No information,No information,No information,No information,No information,1,No information,4,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,8,0,"09/11/2022, 09:30"

Albania,https://www.sofascore.com/italy-albania/PTbshUb#id:10751615,68%,1.56,5,17,0,5,7,809,9,7,2,No information,5,1,5,7,12,5,1,4,No information,34,0,2,747,17,72,21/36 (58%),7/15 (47%),54%,4,25/41 (61%),6/16 (38%),9/13 (69%),56%,9,15,37,6,-0.41,0,3,3,"16/11/2022, 11:45"
Italy,https://www.sofascore.com/italy-albania/PTbshUb#id:10751615,32%,0.51,2,8,3,3,7,372,8,7,2,No information,1,0,5,2,4,4,1,1,No information,7,2,1,313,15,25,17/41 (41%),2/9 (22%),46%,4,16/41 (39%),10/16 (63%),2/7 (29%),63%,8,13,32,15,-0.41,3,8,1,"16/11/2022, 11:45"

Albania,https://www.sofascore.com/liechtenstein-albania/PTbsFWb#id:12258872,No information,No information,No information,14,0,7,9,No information,No information,14,0,0,6,No information,4,4,No information,No information,No information,No information,No information,No information,No information,2,No information,16,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,0,3,"03/06/2024, 11:00"
Liechtenstein,https://www.sofascore.com/liechtenstein-albania/PTbsFWb#id:12258872,No information,No information,No information,0,3,0,14,No information,No information,11,3,0,0,No information,0,0,No information,No information,No information,No information,No information,No information,No information,0,No information,17,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,12,0,"03/06/2024, 11:00"

Albania,https://www.sofascore.com/armenia-albania/PTbsPUb#id:10839838,48%,No information,No information,9,1,2,13,No information,No information,12,1,0,6,No information,3,0,No information,No information,No information,No information,No information,No information,No information,3,No information,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,15,2,"19/11/2022, 08:30"
Armenia,https://www.sofascore.com/armenia-albania/PTbsPUb#id:10839838,52%,No information,No information,11,4,6,11,No information,No information,16,1,0,1,No information,9,1,No information,No information,No information,No information,No information,No information,No information,1,No information,12,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,8,0,"19/11/2022, 08:30"

Poland,https://www.sofascore.com/poland-albania/PTbsdUb#id:10752400,39%,No information,1,7,2,1,13,327,12,16,7,No information,3,0,4,0,3,4,1,0,No information,No information,1,2,234,19,44,22/65 (34%),2/6 (33%),47%,6,33/69 (48%),21/45 (47%),5/16 (31%),67%,12,12,68,35,No information,2,11,1,"27/03/2023, 11:45"
Albania,https://www.sofascore.com/poland-albania/PTbsdUb#id:10752400,61%,No information,1,12,1,6,16,501,17,12,6,No information,2,0,5,5,5,7,0,1,No information,No information,2,2,402,31,67,24/56 (43%),1/21 (5%),53%,6,36/69 (52%),24/45 (53%),7/13 (54%),59%,17,4,65,7,No information,1,5,0,"27/03/2023, 11:45"

Faroe islands,https://www.sofascore.com/faroe-islands-albania/PTbskVb#id:10752453,64%,No information,1,8,0,2,6,641,15,14,1,No information,4,0,2,2,5,3,No information,1,2,No information,2,5,546,29,67,48/76 (63%),3/12 (25%),50%,8,35/66 (53%),19/43 (44%),7/20 (35%),73%,15,3,60,19,No information,0,6,3,"20/06/2023, 11:45"
Albania,https://www.sofascore.com/faroe-islands-albania/PTbskVb#id:10752453,36%,No information,0,10,4,3,17,360,21,6,2,No information,0,0,6,4,7,3,No information,0,0,No information,3,0,263,21,49,29/70 (41%),5/14 (36%),50%,12,31/66 (47%),24/43 (56%),4/7 (57%),52%,21,10,63,22,No information,4,5,1,"20/06/2023, 11:45"

Czechia,https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752464,57%,No information,3,12,0,4,14,498,16,8,2,No information,4,0,6,2,9,3,1,2,1,No information,2,3,393,22,71,26/48 (54%),10/24 (42%),48%,10,29/67 (43%),21/38 (55%),5/11 (45%),75%,16,2,74,8,No information,0,6,1,"07/09/2023, 11:45"
Albania,https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752464,43%,No information,0,1,3,1,9,393,16,14,2,No information,1,0,0,0,0,1,0,0,1,No information,2,3,290,21,58,28/77 (36%),1/4 (25%),52%,10,38/67 (57%),17/38 (45%),8/14 (57%),50%,16,13,63,25,No information,3,12,1,"07/09/2023, 11:45"

Albania,https://www.sofascore.com/moldova-albania/PTbsHVb#id:10752432,47%,No information,1,13,3,4,22,405,14,16,2,No information,6,0,4,3,10,3,0,1,No information,No information,3,1,322,16,67,37/69 (54%),3/23 (13%),48%,5,32/74 (43%),19/33 (58%),4/12 (33%),57%,14,5,50,6,No information,3,4,2,"17/06/2023, 11:45"
Moldova,https://www.sofascore.com/moldova-albania/PTbsHVb#id:10752432,53%,No information,1,10,5,2,18,467,13,21,2,No information,4,1,4,2,3,7,1,0,No information,No information,2,1,389,18,46,39/75 (52%),2/4 (50%),52%,6,42/74 (57%),14/33 (42%),9/17 (53%),85%,13,5,57,23,No information,5,3,0,"17/06/2023, 11:45"

Albania,https://www.sofascore.com/poland-albania/PTbsdUb#id:10752490,39%,No information,1,7,2,1,13,327,12,16,7,No information,3,0,4,0,3,4,1,0,No information,No information,1,2,234,19,44,22/65 (34%),2/6 (33%),47%,6,33/69 (48%),21/45 (47%),5/16 (31%),67%,12,12,68,35,No information,2,11,2,"10/09/2023, 11:45"
Poland,https://www.sofascore.com/poland-albania/PTbsdUb#id:10752490,61%,No information,1,12,1,6,16,501,17,12,6,No information,2,0,5,5,5,7,0,1,No information,No information,2,2,402,31,67,24/56 (43%),1/21 (5%),53%,6,36/69 (52%),24/45 (53%),7/13 (54%),59%,17,4,65,7,No information,1,5,0,"10/09/2023, 11:45"

Albania,https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752511,36%,No information,2,8,7,1,10,349,12,9,1,0,4,0,4,0,4,4,2,No information,1,No information,0,2,265,15,30,23/64 (36%),0/3 (0%),49%,10,31/60 (52%),14/31 (45%),10/15 (67%),83%,12,15,69,38,No information,7,7,3,"12/10/2023, 11:45"
Czechia,https://www.sofascore.com/czech-republic-albania/PTbsoUb#id:10752511,64%,No information,0,13,1,4,10,597,15,9,4,1,7,0,2,4,7,6,0,No information,0,No information,2,2,511,32,70,24/46 (52%),9/41 (22%),51%,3,29/60 (48%),17/31 (55%),5/14 (36%),67%,15,5,61,4,No information,1,5,0,"12/10/2023, 11:45"

Albania,https://www.sofascore.com/bulgaria-albania/PTbsqUb#id:11635609,60%,No information,No information,9,1,6,10,No information,No information,15,2,0,5,No information,1,3,No information,No information,No information,No information,No information,No information,No information,2,No information,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,9,2,"17/10/2023, 09:00"
