Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
England,https://www.sofascore.com/england-italy/hUbsnUb#id:10752547,51%,No information,3,9,3,2,8,508,9,15,1,No information,6,0,3,0,5,4,3,No information,1,No information,3,0,451,11,40,30/55 (55%),3/7 (43%),51%,13,33/64 (52%),5/11 (45%),9/17 (53%),67%,9,12,47,9,No information,3,5,3,"17/10/2023, 11:45"
Italy,https://www.sofascore.com/england-italy/hUbsnUb#id:10752547,49%,No information,1,15,3,2,15,498,21,7,3,No information,4,0,5,6,9,6,1,No information,0,No information,0,1,428,13,50,21/31 (68%),3/7 (43%),49%,3,31/64 (48%),6/11 (55%),3/9 (33%),57%,21,8,46,8,No information,3,6,1,"17/10/2023, 11:45"

England,https://www.sofascore.com/england-malta/IObsnUb#id:10752566,75%,No information,1,11,0,6,5,848,11,12,2,No information,3,0,3,5,7,4,1,No information,1,No information,2,1,788,22,60,62/66 (94%),4/11 (36%),67%,4,37/58 (64%),13/17 (76%),14/22 (64%),55%,11,8,43,8,No information,0,3,2,"17/11/2023, 11:45"
Malta,https://www.sofascore.com/england-malta/IObsnUb#id:10752566,25%,No information,0,4,2,2,12,278,12,4,2,No information,0,0,3,1,1,3,0,No information,0,No information,1,2,220,8,28,13/35 (37%),1/7 (14%),33%,5,21/58 (36%),4/17 (24%),5/11 (45%),67%,12,5,49,18,No information,2,5,0,"17/11/2023, 11:45"

North macedonia,https://www.sofascore.com/north-macedonia-england/nUbsCVb#id:10752587,25%,No information,2,5,3,1,16,222,16,15,1,No information,3,0,1,1,3,2,1,1,0,No information,4,1,152,13,27,19/48 (40%),1/5 (20%),47%,7,35/74 (47%),10/21 (48%),5/10 (50%),56%,16,9,42,25,No information,3,5,1,"20/11/2023, 11:45"
England,https://www.sofascore.com/north-macedonia-england/nUbsCVb#id:10752587,75%,No information,2,16,2,6,15,653,12,16,2,No information,2,1,7,7,9,7,0,2,1,No information,4,3,582,16,69,15/29 (52%),6/21 (29%),53%,10,39/74 (53%),11/21 (52%),11/17 (65%),58%,12,4,42,3,No information,2,5,1,"20/11/2023, 11:45"

England,https://www.sofascore.com/brazil-england/nUbsYUb#id:11900203,53%,No information,1,14,3,7,11,497,14,19,1,No information,3,0,7,4,7,7,0,1,0,No information,11,2,441,19,59,20/26 (77%),8/23 (35%),51%,9,44/85 (52%),7/15 (47%),11/24 (46%),71%,14,7,45,7,No information,3,5,1,"23/03/2024, 12:00"
Brazil,https://www.sofascore.com/brazil-england/nUbsYUb#id:11900203,47%,No information,7,14,3,2,19,458,22,10,1,No information,5,1,6,3,12,2,1,6,2,No information,0,0,397,20,37,23/40 (58%),1/5 (20%),49%,8,41/85 (48%),8/15 (53%),9/15 (60%),59%,22,10,45,26,No information,3,9,0,"23/03/2024, 12:00"

England,https://www.sofascore.com/belgium-england/nUbsrUb#id:11900204,63%,No information,6,19,1,6,13,657,13,12,2,No information,7,0,5,7,14,5,2,4,1,No information,2,2,603,15,56,12/22 (55%),6/19 (32%),48%,6,31/66 (47%),7/13 (54%),6/14 (43%),77%,13,4,47,6,No information,1,4,2,"26/03/2024, 12:45"
Belgium,https://www.sofascore.com/belgium-england/nUbsrUb#id:11900204,37%,No information,2,7,5,1,12,387,14,12,1,No information,3,0,2,2,4,3,1,1,0,No information,1,1,325,14,27,20/38 (53%),1/6 (17%),52%,8,35/66 (53%),6/13 (46%),10/15 (67%),36%,14,6,45,23,No information,5,11,2,"26/03/2024, 12:45"

England,https://www.sofascore.com/england-bosnia-and-herzegovina/EObsnUb#id:12076180,70%,No information,6,25,0,11,7,662,10,16,2,No information,8,0,5,12,18,7,2,4,1,46,2,1,597,21,60,23/40 (58%),10/20 (50%),60%,6,35/59 (59%),17/27 (63%),9/18 (50%),30%,10,6,42,4,No information,0,1,3,"03/06/2024, 11:45"
Bosnia & herzegovina,https://www.sofascore.com/england-bosnia-and-herzegovina/EObsnUb#id:12076180,30%,No information,0,1,5,2,16,279,15,7,2,No information,0,0,0,1,0,1,0,0,0,4,0,1,206,10,16,14/42 (33%),1/5 (20%),40%,8,24/59 (41%),10/27 (37%),4/6 (67%),40%,15,12,41,14,No information,5,12,0,"03/06/2024, 11:45"

England,https://www.sofascore.com/england-iceland/iUbsnUb#id:12076179,68%,No information,1,13,3,7,4,654,9,9,0,No information,1,0,9,3,11,2,No information,1,No information,24,1,4,598,18,81,26/38 (68%),5/39 (13%),60%,8,26/47 (55%),16/23 (70%),8/14 (57%),78%,9,7,51,11,No information,3,1,1,"07/06/2024, 11:45"
Iceland,https://www.sofascore.com/england-iceland/iUbsnUb#id:12076179,32%,No information,1,8,1,5,9,317,14,4,3,No information,4,0,0,4,4,4,No information,1,No information,12,0,0,248,18,38,18/56 (32%),3/8 (38%),40%,3,21/47 (45%),7/23 (30%),3/9 (33%),50%,14,9,33,31,No information,1,17,0,"07/06/2024, 11:45"

England,https://www.sofascore.com/senegal-england/nUbsOUb#id:10230632,61%,1.02,3,8,1,3,16,589,21,11,0,No information,4,0,4,0,7,1,3,0,0,No information,3,No information,505,18,64,39/65 (60%),5/15 (33%),51%,5,39/68 (57%),9/27 (33%),7/13 (54%),67%,21,9,No information,9,0.12,1,11,3,"04/12/2022, 11:00"
Senegal,https://www.sofascore.com/senegal-england/nUbsOUb#id:10230632,39%,0.80,1,10,1,3,12,368,11,16,1,No information,1,0,5,4,4,6,0,1,1,No information,3,No information,295,15,36,27/58 (47%),3/13 (23%),49%,16,29/68 (43%),18/27 (67%),2/7 (29%),73%,11,6,No information,17,-1.77,1,8,0,"04/12/2022, 11:00"

Wales,https://www.sofascore.com/england-wales/cUbsnUb#id:10230532,35%,0.35,0,7,4,1,16,329,12,9,2,No information,1,0,3,3,1,6,0,0,0,No information,1,1,257,18,21,31/61 (51%),1/2 (50%),43%,2,21/48 (44%),9/21 (43%),0/4 (0%),50%,12,7,No information,17,-0.36,4,7,3,"29/11/2022, 11:00"
England,https://www.sofascore.com/england-wales/cUbsnUb#id:10230532,65%,2.46,4,18,1,6,9,594,6,14,0,No information,7,1,6,5,14,4,1,3,2,No information,4,1,525,16,46,19/34 (56%),5/14 (36%),57%,7,27/48 (56%),12/21 (57%),7/12 (58%),67%,6,5,No information,7,0.03,1,4,0,"29/11/2022, 11:00"

England,https://www.sofascore.com/england-france/GObsnUb#id:10230634,57%,2.41,3,16,3,5,10,503,16,14,1,No information,8,1,4,4,8,8,1,2,No information,No information,6,1,441,16,51,23/41 (56%),6/18 (33%),55%,5,34/58 (59%),18/37 (49%),4/9 (44%),63%,16,8,No information,13,-0.40,3,9,2,"10/12/2022, 11:00"
France,https://www.sofascore.com/england-france/GObsnUb#id:10230634,43%,1.01,2,8,6,2,14,377,10,10,3,No information,5,0,2,1,5,3,1,1,No information,No information,3,2,306,14,62,23/55 (42%),4/11 (36%),45%,11,24/58 (41%),19/37 (51%),4/9 (44%),70%,10,5,No information,15,1.01,6,5,1,"10/12/2022, 11:00"

Italy,https://www.sofascore.com/england-italy/hUbsnUb#id:10752368,51%,No information,3,9,3,2,8,508,9,15,1,No information,6,0,3,0,5,4,3,No information,1,No information,3,0,451,11,40,30/55 (55%),3/7 (43%),51%,13,33/64 (52%),5/11 (45%),9/17 (53%),67%,9,12,47,9,No information,3,5,2,"23/03/2023, 12:45"
England,https://www.sofascore.com/england-italy/hUbsnUb#id:10752368,49%,No information,1,15,3,2,15,498,21,7,3,No information,4,0,5,6,9,6,1,No information,0,No information,0,1,428,13,50,21/31 (68%),3/7 (43%),49%,3,31/64 (48%),6/11 (55%),3/9 (33%),57%,21,8,46,8,No information,3,6,1,"23/03/2023, 12:45"

Serbia,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,47%,0.18,0,6,2,2,19,504,13,7,2,No information,1,0,2,3,1,5,0,0,No information,11,0,0,438,19,37,20/44 (45%),2/19 (11%),42%,9,28/64 (44%),8/22 (36%),8/8 (100%),77%,13,5,36,17,0.45,2,4,1,"16/06/2024, 12:00"
England,https://www.sofascore.com/serbia-england/nUbsfCc#id:11873969,53%,0.52,2,5,1,1,8,588,9,19,0,No information,3,1,1,1,2,3,1,1,No information,12,4,1,527,8,64,30/58 (52%),2/9 (22%),58%,3,36/64 (56%),14/22 (64%),8/18 (44%),67%,9,8,48,22,0.04,1,5,0,"16/06/2024, 12:00"

England,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752391,32%,No information,1,2,3,2,11,321,17,7,2,No information,1,0,1,0,1,1,1,No information,0,No information,1,0,256,14,37,21/50 (42%),0/5 (0%),43%,4,24/51 (47%),6/18 (33%),0/6 (0%),41%,17,5,48,22,No information,3,8,2,"26/03/2023, 09:00"
